c_segid,c_id,c_radius,c_devangle,c_length,c_pc_x,c_pc_y,c_pt_x,c_pt_y,g_rcd,g_rte_typ,g_rte_cod,g_rte_numb,g_rte_suff,g_spd_limt,g_aadt,g_aadt_adj,p_bbi_max,p_bbi_95th,p_pc_alti,p_mid_alti,p_pt_alti,p_spd_limt,p_adv_sped,p_sped_dif,p_colldate,geometry,c_c_x,c_c_y
0017_D1_2,71.0,132.00102,109.39038,252.0193,-83.7460694194,34.7796664362,-83.7461738035,34.7802689346,3111001700I,1,311,0017,00,45,2110,2110.0,12.9671428571,12.77,2364.17323194,2376.96850755,2394.68504301,35.0,22.4785724246,12.5214275754,12/24/2017,"LINESTRING Z (2422877.246168287 1739050.353754051 0, 2422881.990608708 1739058.478710461 0, 2422886.735049132 1739066.603666871 0, 2422891.479489554 1739074.728623281 0, 2422896.223929982 1739082.853579691 0, 2422900.968370403 1739090.978536102 0, 2422905.712810827 1739099.10349251 0, 2422910.457251252 1739107.22844892 0, 2422913.303210126 1739116.479742753 0, 2422916.149169003 1739125.731036588 0, 2422917.572394503 1739134.270389586 0, 2422918.995620002 1739142.809742585 0, 2422917.928200878 1739150.816042187 0, 2422916.86078175 1739158.822341792 0, 2422915.793362626 1739166.828641395 0, 2422914.725943502 1739174.834940998 0, 2422912.828528225 1739181.715504665 0, 2422910.931112946 1739188.596068331 0, 2422909.033697667 1739195.476631999 0, 2422906.186426457 1739204.015985 0, 2422903.339155249 1739212.555338003 0, 2422897.361148832 1739219.814312984 0, 2422891.383142416 1739227.073287968 0, 2422885.405136004 1739234.332262951 0, 2422879.427129582 1739241.591237937 0, 2422873.449123162 1739248.850212915 0, 2422866.332913646 1739254.010307584 0, 2422859.216704126 1739259.170402254 0, 2422852.100494605 1739264.330496918 0)",-83.74635840252445,34.779939758417314
0017_D1_2,76.0,316.06052,44.51437,245.55447,-83.7451738015,34.7860963731,-83.7448806471,34.7867344098,3111001700I,1,311,0017,00,45,2110,2110.0,4.51571428571,4.118,2555.11811412,2546.91601437,2542.6509225,35.0,36.1876115147,0.0,12/24/2017,"LINESTRING Z (2423136.357061916 1741391.538184752 0, 2423141.688051548 1741399.821486936 0, 2423147.019041176 1741408.10478912 0, 2423152.350030806 1741416.388091306 0, 2423157.681020434 1741424.67139349 0, 2423163.012010066 1741432.954695677 0, 2423168.342999697 1741441.237997861 0, 2423173.673989324 1741449.521300047 0, 2423179.004978957 1741457.804602232 0, 2423184.335968583 1741466.087904417 0, 2423188.379349606 1741473.221666394 0, 2423192.422730628 1741480.355428377 0, 2423196.466111647 1741487.489190354 0, 2423200.50949267 1741494.622952334 0, 2423203.498003752 1741503.983694766 0, 2423206.486514836 1741513.344437201 0, 2423209.475025919 1741522.705179634 0, 2423212.463537003 1741532.065922067 0, 2423215.452048087 1741541.4266645 0, 2423216.335357779 1741550.613654002 0, 2423217.218667469 1741559.800643503 0, 2423218.10197717 1741568.987633003 0, 2423218.985286857 1741578.174622504 0, 2423219.868596555 1741587.361612006 0, 2423220.751906252 1741596.548601503 0, 2423221.635215947 1741605.735591004 0, 2423222.518525641 1741614.922580505 0)",-83.74593240903137,34.78669846413499
0017_D1_2,17.0,1439.82478,32.26018,810.68803,-83.6691209417,34.6794811716,-83.6711121768,34.6809774165,3111001700I,1,311,0017,00,55,3390,3390.0,3.14285714286,2.69014285714,1378.93700997,1368.76640628,1383.85826982,45.0,70.7209349414,0.0,12/15/2017,"LINESTRING Z (2446163.351211795 1702695.557287282 0, 2446154.703577623 1702699.857366171 0, 2446146.055943455 1702704.15744506 0, 2446137.408309284 1702708.457523951 0, 2446128.760675116 1702712.757602837 0, 2446120.113040945 1702717.057681727 0, 2446111.465406775 1702721.357760614 0, 2446102.817772604 1702725.657839506 0, 2446094.170138433 1702729.957918393 0, 2446085.522504263 1702734.257997282 0, 2446076.874870093 1702738.558076172 0, 2446068.227235919 1702742.858155063 0, 2446059.579601753 1702747.158233953 0, 2446050.931967583 1702751.458312838 0, 2446044.059737238 1702755.865718724 0, 2446037.187506884 1702760.273124607 0, 2446030.315276535 1702764.680530488 0, 2446023.443046184 1702769.08793637 0, 2446016.570815834 1702773.495342256 0, 2446012.27587692 1702776.249765879 0, 2446007.980938003 1702779.004189505 0, 2446000.426772382 1702784.417423897 0, 2445992.872606766 1702789.830658291 0, 2445985.318441146 1702795.243892684 0, 2445977.764275526 1702800.657127075 0, 2445970.210109907 1702806.070361469 0, 2445962.655944288 1702811.48359586 0, 2445955.101778669 1702816.896830253 0, 2445947.811274876 1702822.585499979 0, 2445940.520771082 1702828.274169704 0, 2445933.230267292 1702833.962839428 0, 2445925.939763502 1702839.651509153 0, 2445918.649259711 1702845.340178879 0, 2445911.358755919 1702851.028848602 0, 2445904.068252123 1702856.717518328 0, 2445896.777748336 1702862.406188053 0, 2445889.487244543 1702868.094857776 0, 2445882.196740754 1702873.783527501 0, 2445875.008669261 1702879.878800275 0, 2445867.820597777 1702885.974073047 0, 2445860.632526286 1702892.069345825 0, 2445853.444454799 1702898.164618596 0, 2445846.256383306 1702904.259891373 0, 2445839.068311825 1702910.355164148 0, 2445831.880240338 1702916.45043692 0, 2445825.322237265 1702922.449987474 0, 2445818.764234195 1702928.449538029 0, 2445812.206231128 1702934.449088585 0, 2445805.648228056 1702940.44863914 0, 2445799.090224987 1702946.448189696 0, 2445792.532221917 1702952.447740248 0, 2445786.376831776 1702958.610184179 0, 2445780.221441641 1702964.772628112 0, 2445774.066051501 1702970.93507204 0, 2445767.910661362 1702977.097515974 0, 2445761.75527122 1702983.259959904 0, 2445755.599881086 1702989.422403834 0, 2445749.163665281 1702996.556083794 0, 2445742.727449484 1703003.689763752 0, 2445736.291233677 1703010.82344371 0, 2445729.855017875 1703017.957123668 0, 2445723.418802071 1703025.090803626 0, 2445716.982586272 1703032.224483583 0, 2445710.546370466 1703039.358163539 0, 2445704.110154666 1703046.491843498 0, 2445698.271302452 1703053.554024726 0, 2445692.432450237 1703060.616205953 0, 2445686.593598023 1703067.678387179 0, 2445680.754745811 1703074.740568407 0, 2445674.915893596 1703081.802749631 0, 2445669.077041383 1703088.86493086 0, 2445663.238189168 1703095.927112088 0, 2445657.492670805 1703103.511250462 0, 2445651.74715244 1703111.095388835 0, 2445646.001634075 1703118.679527212 0, 2445640.256115713 1703126.263665586 0, 2445634.510597347 1703133.847803961 0, 2445628.765078982 1703141.431942338 0, 2445623.019560616 1703149.016080712 0, 2445617.274042254 1703156.600219086 0, 2445611.717258383 1703164.660533967 0, 2445606.160474511 1703172.720848845 0, 2445600.603690637 1703180.781163725 0, 2445595.046906766 1703188.841478605 0, 2445589.490122898 1703196.901793485 0, 2445583.933339027 1703204.962108364 0, 2445578.376555159 1703213.022423243 0, 2445572.819771287 1703221.082738124 0, 2445567.262987416 1703229.143053001 0)",-83.66702367340777,34.683038001909324
0017_D1_2,35.0,258.62674,58.39472,263.58725,-83.7401813039,34.7071750173,-83.7398055673,34.7078227603,3111001700I,1,311,0017,00,35,5230,5230.0,3.29,3.15128571429,1518.37270572,1520.99737764,1519.68504168,30.0,33.3697843104,0.0,12/24/2017,"LINESTRING Z (2424757.21490006 1712676.056808178 0, 2424758.153921431 1712684.663558868 0, 2424759.092942799 1712693.27030956 0, 2424760.031964168 1712701.877060252 0, 2424761.363709099 1712711.75198582 0, 2424762.695454027 1712721.626911391 0, 2424764.02719896 1712731.50183696 0, 2424765.358943885 1712741.376762531 0, 2424766.690688819 1712751.251688099 0, 2424768.02243375 1712761.126613668 0, 2424770.145351641 1712770.733003032 0, 2424772.268269529 1712780.339392389 0, 2424774.391187417 1712789.945781756 0, 2424777.386424209 1712797.222834127 0, 2424780.381661002 1712804.499886509 0, 2424784.280493971 1712811.585392891 0, 2424788.179326945 1712818.670899281 0, 2424792.078159917 1712825.756405666 0, 2424796.762041624 1712832.42396123 0, 2424801.445923334 1712839.091516794 0, 2424806.129805041 1712845.759072355 0, 2424810.81368675 1712852.426627917 0, 2424816.008148145 1712858.525533045 0, 2424821.202609547 1712864.624438172 0, 2424826.397070939 1712870.723343297 0, 2424831.591532337 1712876.82224842 0, 2424837.244162107 1712882.42361517 0, 2424842.896791875 1712888.02498192 0, 2424848.549421645 1712893.62634867 0, 2424854.202051417 1712899.227715417 0, 2424861.669884251 1712905.7473054 0)",-83.73932371792758,34.70723396200642
0017_D1_2,91.0,141.07909,143.84765,354.1953,-83.7428181135,34.8147040996,-83.7427445222,34.8154570455,2811001700I,1,281,0017,00,45,1730,1730.0,15.4557142857,15.0292857143,2603.67454464,2615.15748429,2625.65617197,45.0,22.8295237351,22.1704762649,12/23/2017,"LINESTRING Z (2423799.69923917 1751805.80114884 0, 2423792.155291003 1751810.803435423 0, 2423784.611342835 1751815.805722006 0, 2423777.576087882 1751821.500264421 0, 2423770.540832917 1751827.194806836 0, 2423764.715221209 1751832.844401837 0, 2423758.8896095 1751838.493996835 0, 2423753.563176583 1751844.615703756 0, 2423748.236743667 1751850.737410673 0, 2423743.292199748 1751857.522009962 0, 2423738.347655833 1751864.306609249 0, 2423734.623581916 1751870.584319792 0, 2423730.899507998 1751876.862030334 0, 2423728.299447587 1751883.010968167 0, 2423725.699387165 1751889.159906002 0, 2423723.70382029 1751895.529151795 0, 2423721.708253418 1751901.898397586 0, 2423720.332271917 1751908.429388461 0, 2423718.956290416 1751914.960379334 0, 2423718.213017628 1751921.594716458 0, 2423717.469744834 1751928.229053587 0, 2423717.368039002 1751934.902104544 0, 2423717.266333167 1751941.575155504 0, 2423717.806522374 1751948.229833798 0, 2423718.346711584 1751954.884512092 0, 2423719.522890335 1751961.455529133 0, 2423720.699069083 1751968.026546171 0, 2423722.499262334 1751974.453042503 0, 2423724.299455582 1751980.879538835 0, 2423727.776318708 1751989.393301336 0, 2423731.253181832 1751997.907063833 0, 2423735.821906294 1752005.886050504 0, 2423740.390630754 1752013.865037173 0, 2423745.975265251 1752021.170468754 0, 2423751.559899753 1752028.475900338 0, 2423758.060378877 1752034.980480504 0, 2423764.560857999 1752041.48506067 0, 2423769.535585585 1752045.454212836 0, 2423774.510313167 1752049.423365003 0, 2423779.826903586 1752052.921061419 0, 2423785.143494002 1752056.418757835 0, 2423790.756835794 1752059.413994625 0, 2423796.37017759 1752062.409231415 0, 2423802.23499525 1752064.878386584 0, 2423808.099812916 1752067.347541749 0, 2423814.36489225 1752073.632142042 0)",-83.74267583619063,34.815073560142864
0017_D1_2,19.0,883.79938,38.03725,586.73248,-83.6754952367,34.6837782624,-83.6774418468,34.6837939699,3111001700I,1,311,0017,00,45,3825,3825.0,5.34571428571,4.12307142857,1408.79265306,1427.82152448,1433.39895231,45.0,55.7563858538,0.0,12/24/2017,"LINESTRING Z (2444239.365216711 1704249.975574983 0, 2444229.850964085 1704247.666442462 0, 2444220.336711461 1704245.357309941 0, 2444210.822458833 1704243.048177422 0, 2444201.27403086 1704240.845644642 0, 2444191.72560289 1704238.643111866 0, 2444182.177174918 1704236.440579087 0, 2444172.61453 1704234.310169963 0, 2444163.051885088 1704232.179760835 0, 2444153.475460666 1704230.144003751 0, 2444143.899036251 1704228.108246669 0, 2444134.322611836 1704226.072489586 0, 2444124.746187419 1704224.036732503 0, 2444115.13509553 1704222.18328039 0, 2444105.524003639 1704220.329828284 0, 2444095.912911751 1704218.476376169 0, 2444086.264144958 1704216.794456959 0, 2444076.615378168 1704215.112537749 0, 2444066.94052875 1704213.565624833 0, 2444057.234839501 1704212.177504252 0, 2444047.52915025 1704210.789383672 0, 2444037.795902002 1704209.562352002 0, 2444028.033454339 1704208.499197959 0, 2444018.271006668 1704207.436043919 0, 2444008.471649623 1704206.615835584 0, 2443998.672292584 1704205.795627251 0, 2443988.84291592 1704205.157177083 0, 2443978.980074756 1704204.697040211 0, 2443969.117233587 1704204.236903338 0, 2443959.188447671 1704204.003964171 0, 2443949.259661754 1704203.771025004 0, 2443939.279366752 1704203.708033005 0, 2443932.597402863 1704203.777477308 0, 2443925.915438973 1704203.846921614 0, 2443919.233475085 1704203.916365922 0, 2443914.206746292 1704204.055637298 0, 2443909.1800175 1704204.194908671 0, 2443902.456496389 1704204.49204281 0, 2443895.73297528 1704204.78917695 0, 2443889.009454168 1704205.086311087 0, 2443882.257827249 1704205.536550781 0, 2443875.506200332 1704205.986790473 0, 2443868.754573412 1704206.437030167 0, 2443863.672562583 1704206.861077879 0, 2443858.590551753 1704207.285125582 0, 2443851.786103417 1704207.966664027 0, 2443844.981655085 1704208.648202476 0, 2443838.17720675 1704209.329740921 0, 2443833.054185502 1704209.933578294 0, 2443827.93116425 1704210.537415668 0, 2443822.790098419 1704211.249356501 0, 2443817.649032587 1704211.96129733 0, 2443812.485164959 1704212.798730039 0, 2443807.321297332 1704213.63616275 0, 2443802.137580669 1704214.59843117 0, 2443796.953864002 1704215.560699589 0, 2443791.748985958 1704216.647803713 0, 2443786.54410792 1704217.734907836 0, 2443779.576492802 1704219.372153031 0, 2443772.608877696 1704221.009398227 0, 2443765.641262589 1704222.646643421 0, 2443757.795559768 1704224.568227505 0, 2443749.949856959 1704226.489811587 0, 2443742.104154149 1704228.411395669 0, 2443734.258451335 1704230.332979755 0, 2443727.277494168 1704232.116440754 0, 2443720.296537001 1704233.899901753 0, 2443713.315579841 1704235.683362751 0, 2443708.067394793 1704237.100026586 0, 2443702.819209751 1704238.516690417 0, 2443695.799538752 1704240.517014501 0, 2443688.779867751 1704242.517338584 0, 2443681.760196754 1704244.517662667 0, 2443672.554178419 1704247.292732108 0, 2443663.348160086 1704250.06780155 0)",-83.67644141126144,34.68607752943197
0017_D1_2,66.0,140.45281,94.89329,232.61799,-83.7442123119,34.7757808032,-83.7448611718,34.7755325703,3111001700I,1,311,0017,00,45,2110,2110.0,10.7657142857,10.4307142857,2222.76903225,2233.59580392,2245.40682756,35.0,25.4430024944,9.55699750563,12/24/2017,"LINESTRING Z (2423440.835893029 1737638.590583487 0, 2423436.313483 1737629.807519249 0, 2423432.276171523 1737623.415963791 0, 2423428.238860047 1737617.024408335 0, 2423424.201548566 1737610.632852875 0, 2423420.16423709 1737604.241297416 0, 2423415.754469001 1737598.410709778 0, 2423411.344700921 1737592.580122141 0, 2423406.934932836 1737586.749534501 0, 2423400.880647044 1737581.031534128 0, 2423394.826361252 1737575.313533753 0, 2423387.313745041 1737569.257607545 0, 2423379.801128836 1737563.201681338 0, 2423373.858555418 1737559.16543613 0, 2423367.915982001 1737555.129190921 0, 2423360.066588254 1737549.973361335 0, 2423354.617780252 1737547.67267696 0, 2423349.16897225 1737545.371992586 0, 2423342.843197502 1737543.747980086 0, 2423336.517422751 1737542.123967586 0, 2423328.806808251 1737541.117571963 0, 2423321.096193751 1737540.111176335 0, 2423311.666422583 1737540.822543024 0, 2423302.236651416 1737541.533909712 0, 2423292.806880252 1737542.245276401 0, 2423283.377109082 1737542.956643091 0, 2423274.12529969 1737544.075500991 0, 2423264.873490298 1737545.194358898 0, 2423255.621680907 1737546.313216803 0)",-83.74466355490411,34.775882360059114
0017_D1_2,93.0,133.30298,75.20203,174.96323,-83.7397761823,34.8169952349,-83.7394011274,34.8173388297,2811001700I,1,281,0017,00,45,1730,1730.0,14.2028571429,13.7581428571,2524.60630305,2520.34121118,2515.74803532,45.0,21.7788284788,23.2211715212,12/23/2017,"LINESTRING Z (2424709.181016 1752643.492386835 0, 2424717.429031 1752647.728270751 0, 2424725.677046001 1752651.964154667 0, 2424733.727226752 1752655.906404002 0, 2424742.270516751 1752658.648852587 0, 2424750.586444996 1752662.02318967 0, 2424757.577736794 1752665.738241295 0, 2424764.569028587 1752669.45329292 0, 2424768.964689089 1752672.45246671 0, 2424773.360349585 1752675.4516405 0, 2424777.472053966 1752678.826305669 0, 2424781.583758336 1752682.200970836 0, 2424785.379682497 1752685.927833459 0, 2424789.175606669 1752689.654696085 0, 2424792.629011833 1752693.701439963 0, 2424796.082417001 1752697.748183837 0, 2424800.912459835 1752704.963228464 0, 2424805.742502667 1752712.178273089 0, 2424809.48068417 1752720.013067129 0, 2424813.218865668 1752727.847861172 0, 2424815.789562624 1752736.140823587 0, 2424818.36025958 1752744.433786003 0, 2424819.708518043 1752753.009720296 0, 2424821.056776501 1752761.585654588 0)",-83.73984471210414,34.81735712817909
0017_D1_2,3.0,1874.20564,43.14088,1411.18376,-83.4820408742,34.6116994,-83.4864211981,34.6128825886,1371001700I,1,137,0017,00,55,5230,5230.0,5.35714285714,5.10157142857,1507.54593405,1507.21785006,1503.28084218,55.0,74.6200515368,0.0,12/13/2017,"LINESTRING Z (2502574.699497249 1678357.949804558 0, 2502567.117983544 1678363.84189788 0, 2502559.536469836 1678369.733991203 0, 2502551.954956125 1678375.62608452 0, 2502544.373442419 1678381.518177844 0, 2502536.79192871 1678387.410271168 0, 2502529.210415002 1678393.302364491 0, 2502521.628901293 1678399.194457811 0, 2502514.047387583 1678405.086551133 0, 2502506.465873875 1678410.978644456 0, 2502498.884360168 1678416.870737777 0, 2502491.302846462 1678422.762831102 0, 2502483.721332753 1678428.654924419 0, 2502475.729518024 1678433.880635756 0, 2502467.737703302 1678439.106347088 0, 2502459.745888575 1678444.332058421 0, 2502451.754073853 1678449.557769755 0, 2502443.762259125 1678454.783481087 0, 2502435.770444399 1678460.009192421 0, 2502427.778629676 1678465.234903754 0, 2502419.786814951 1678470.460615086 0, 2502411.795000224 1678475.68632642 0, 2502403.803185499 1678480.91203775 0, 2502395.533427522 1678485.656361358 0, 2502387.263669545 1678490.400684966 0, 2502378.993911569 1678495.145008569 0, 2502370.724153591 1678499.889332175 0, 2502362.454395614 1678504.63365578 0, 2502354.184637633 1678509.377979388 0, 2502345.914879658 1678514.122302993 0, 2502337.645121684 1678518.866626601 0, 2502329.375363706 1678523.610950206 0, 2502321.105605726 1678528.355273809 0, 2502312.835847747 1678533.099597417 0, 2502304.413210395 1678538.091098263 0, 2502295.990573041 1678543.082599106 0, 2502287.56793569 1678548.07409995 0, 2502279.145298333 1678553.065600794 0, 2502270.722660978 1678558.05710164 0, 2502262.300023627 1678563.048602482 0, 2502253.877386273 1678568.040103327 0, 2502245.454748918 1678573.031604171 0, 2502238.351252626 1678576.835566379 0, 2502231.247756336 1678580.639528587 0, 2502222.871515434 1678584.889520089 0, 2502214.495274529 1678589.139511587 0, 2502206.119033624 1678593.389503088 0, 2502197.742792724 1678597.639494588 0, 2502189.366551821 1678601.889486088 0, 2502180.990310919 1678606.139477589 0, 2502172.474087792 1678610.099880865 0, 2502163.95786467 1678614.060284141 0, 2502155.441641544 1678618.020687419 0, 2502146.925418419 1678621.981090695 0, 2502138.40919529 1678625.941493974 0, 2502129.892972166 1678629.901897253 0, 2502121.606899502 1678633.421629932 0, 2502113.320826836 1678636.941362613 0, 2502105.034754168 1678640.461095294 0, 2502096.748681502 1678643.980827972 0, 2502088.462608837 1678647.500560654 0, 2502080.17653617 1678651.020293329 0, 2502071.77880581 1678654.265529627 0, 2502063.381075445 1678657.510765919 0, 2502054.983345085 1678660.756002209 0, 2502046.585614723 1678664.001238503 0, 2502038.187884362 1678667.246474793 0, 2502029.790154003 1678670.491711087 0, 2502021.291045891 1678673.459552919 0, 2502012.791937779 1678676.427394752 0, 2502004.292829669 1678679.395236584 0, 2501995.793721556 1678682.363078417 0, 2501987.294613445 1678685.330920252 0, 2501978.795505334 1678688.298762082 0, 2501970.203440279 1678690.985819262 0, 2501961.611375221 1678693.672876445 0, 2501953.019310168 1678696.359933627 0, 2501944.427245113 1678699.046990808 0, 2501935.835180054 1678701.734047987 0, 2501927.243115001 1678704.421105168 0, 2501919.060826027 1678706.69598032 0, 2501910.878537057 1678708.970855474 0, 2501902.696248084 1678711.245730626 0, 2501894.513959112 1678713.52060578 0, 2501886.33167014 1678715.795480933 0, 2501878.149381169 1678718.070356086 0, 2501869.899889795 1678720.09058389 0, 2501861.650398418 1678722.110811697 0, 2501853.400907045 1678724.131039504 0, 2501845.151415669 1678726.151267308 0, 2501836.901924293 1678728.171495116 0, 2501828.652432919 1678730.191722924 0, 2501819.061317659 1678732.288102515 0, 2501809.470202399 1678734.384482105 0, 2501799.879087139 1678736.480861697 0, 2501790.287971879 1678738.577241291 0, 2501780.69685662 1678740.673620882 0, 2501771.10574136 1678742.770000476 0, 2501761.5146261 1678744.866380068 0, 2501751.923510844 1678746.962759659 0, 2501742.332395585 1678749.059139251 0, 2501733.862174428 1678750.653811729 0, 2501725.391953275 1678752.248484207 0, 2501716.921732119 1678753.843156682 0, 2501708.451510966 1678755.437829158 0, 2501699.981289813 1678757.032501636 0, 2501691.511068657 1678758.627174112 0, 2501683.040847505 1678760.221846588 0, 2501673.940198598 1678761.625769852 0, 2501664.839549697 1678763.029693112 0, 2501655.738900794 1678764.433616378 0, 2501646.63825189 1678765.837539641 0, 2501637.537602988 1678767.241462904 0, 2501628.436954083 1678768.645386167 0, 2501619.296169653 1678769.760377375 0, 2501610.155385223 1678770.875368585 0, 2501601.014600794 1678771.990359794 0, 2501591.873816357 1678773.105351003 0, 2501582.733031932 1678774.220342212 0, 2501573.5922475 1678775.33533342 0, 2501564.420513876 1678776.159752159 0, 2501555.248780249 1678776.984170894 0, 2501546.077046626 1678777.808589628 0, 2501536.905312999 1678778.633008366 0, 2501527.733579373 1678779.457427102 0, 2501518.561845755 1678780.281845839 0, 2501509.369060113 1678780.816129545 0, 2501500.176274473 1678781.350413253 0, 2501490.983488832 1678781.884696961 0, 2501481.790703193 1678782.418980666 0, 2501472.597917557 1678782.953264375 0, 2501463.405131916 1678783.487548082 0, 2501454.288625655 1678783.729728265 0, 2501445.172119389 1678783.971908446 0, 2501436.055613127 1678784.214088626 0, 2501426.939106868 1678784.456268809 0, 2501417.822600601 1678784.698448987 0, 2501408.706094336 1678784.940629168 0, 2501399.586416599 1678784.896830045 0, 2501390.466738858 1678784.85303092 0, 2501381.347061128 1678784.809231797 0, 2501372.227383391 1678784.765432671 0, 2501363.107705657 1678784.721633547 0, 2501353.988027919 1678784.677834421 0, 2501344.874638448 1678784.348438755 0, 2501335.761248975 1678784.019043088 0, 2501326.647859501 1678783.689647421 0, 2501317.534470032 1678783.360251756 0, 2501308.421080559 1678783.030856086 0, 2501299.307691087 1678782.70146042 0, 2501290.208956006 1678782.086577571 0, 2501281.110220919 1678781.471694726 0, 2501272.011485837 1678780.856811878 0, 2501262.912750753 1678780.241929031 0)",-83.48602816905803,34.60774300967618
0017_D1_2,55.0,404.89261,43.18518,305.17711,-83.741779373,34.7743614999,-83.7410897789,34.7749828291,3111001700I,1,311,0017,00,45,2110,2110.0,4.12,3.85678571429,1994.42257521,2004.26509491,2015.09186658,35.0,38.866437313,0.0,12/24/2017,"LINESTRING Z (2424173.604987417 1737125.143174254 0, 2424176.633278605 1737132.385285753 0, 2424179.661569793 1737139.627397253 0, 2424182.68986098 1737146.869508754 0, 2424185.718152172 1737154.111620256 0, 2424189.858235753 1737161.523678921 0, 2424193.998319334 1737168.935737588 0, 2424198.138402918 1737176.347796255 0, 2424202.278486502 1737183.759854921 0, 2424206.986591698 1737191.184544796 0, 2424211.694696893 1737198.609234672 0, 2424216.402802085 1737206.033924546 0, 2424221.110907275 1737213.45861442 0, 2424225.819012479 1737220.883304298 0, 2424230.52711767 1737228.307994172 0, 2424236.261522213 1737235.826679919 0, 2424241.995926754 1737243.345365672 0, 2424247.730331296 1737250.864051421 0, 2424253.464735835 1737258.382737169 0, 2424259.199140375 1737265.901422918 0, 2424264.933544917 1737273.420108665 0, 2424271.605185119 1737280.067667551 0, 2424278.276825321 1737286.715226432 0, 2424284.948465519 1737293.362785319 0, 2424291.620105717 1737300.010344198 0, 2424298.291745918 1737306.657903082 0, 2424306.061696629 1737311.659392894 0, 2424313.831647344 1737316.660882703 0, 2424321.601598059 1737321.662372512 0, 2424329.371548774 1737326.663862318 0, 2424337.141499489 1737331.665352131 0, 2424344.911450203 1737336.666841939 0, 2424352.681400917 1737341.668331751 0, 2424361.696930419 1737345.159156643 0, 2424370.712459925 1737348.649981538 0)",-83.74051425386561,34.77397672943005
