FID,x_ft,y_ft
227,2512656.923,1672980.859
228,2512642.231,1672983.883
229,2512627.539,1672986.908
230,2512612.847,1672989.933
231,2512598.155,1672992.958
232,2512583.464,1672995.982
233,2512568.772,1672999.007
234,2512554.08,1673002.032
235,2512539.388,1673005.056
236,2512524.696,1673008.081
237,2512510.004,1673011.106
238,2512495.287,1673014.001
239,2512480.568,1673016.891
240,2512465.801,1673019.526
241,2512451.001,1673021.962
242,2512436.131,1673023.931
243,2512421.236,1673025.698
244,2512406.309,1673027.177
245,2512391.382,1673028.656
246,2512376.451,1673030.094
247,2512361.513,1673031.458
248,2512346.576,1673032.822
249,2512331.638,1673034.185
250,2512316.7,1673035.549
251,2512301.762,1673036.913
252,2512286.824,1673038.277
253,2512271.886,1673039.64
254,2512256.948,1673041.004
255,2512242.011,1673042.368
256,2512227.073,1673043.732
257,2512212.135,1673045.096
258,2512197.198,1673046.465
259,2512182.261,1673047.843
260,2512167.325,1673049.221
261,2512152.388,1673050.599
262,2512137.451,1673051.977
263,2512122.515,1673053.355
264,2512107.578,1673054.733
265,2512092.642,1673056.112
266,2512077.705,1673057.49
267,2512062.769,1673058.868
268,2512047.832,1673060.246
269,2512032.896,1673061.624
270,2512017.959,1673063.002
271,2512003.023,1673064.38
272,2511988.086,1673065.758
273,2511973.15,1673067.136
274,2511958.213,1673068.514
275,2511943.277,1673069.892
276,2511928.34,1673071.27
277,2511913.403,1673072.649
278,2511898.467,1673074.027
279,2511883.53,1673075.405
280,2511868.594,1673076.783
281,2511853.656,1673078.148
282,2511838.712,1673079.445
283,2511823.769,1673080.742
284,2511808.815,1673081.917
285,2511793.852,1673082.971
286,2511778.881,1673083.881
287,2511763.901,1673084.656
288,2511748.917,1673085.362
289,2511733.932,1673086.011
290,2511718.946,1673086.66
291,2511703.959,1673087.283
292,2511688.972,1673087.905
293,2511673.984,1673088.527
294,2511658.997,1673089.148
295,2511644.01,1673089.77
296,2511629.023,1673090.391
297,2511614.036,1673091.013
298,2511599.049,1673091.634
299,2511584.062,1673092.256
300,2511569.075,1673092.877
301,2511554.088,1673093.499
302,2511539.101,1673094.12
303,2511524.114,1673094.742
304,2511509.126,1673095.363
305,2511494.139,1673095.985
306,2511479.152,1673096.607
307,2511464.165,1673097.228
308,2511449.178,1673097.85
309,2511434.191,1673098.471
310,2511419.204,1673099.093
311,2511404.217,1673099.714
312,2511389.23,1673100.336
313,2511374.243,1673100.957
314,2511359.256,1673101.579
315,2511344.267,1673102.155
316,2511329.277,1673102.7
317,2511314.287,1673103.245
318,2511299.297,1673103.79
319,2511284.302,1673104.17
320,2511269.305,1673104.458
321,2511254.308,1673104.747
322,2511239.31,1673105.035
323,2511224.312,1673105.267
324,2511209.314,1673105.477
325,2511194.315,1673105.686
326,2511179.317,1673105.896
327,2511164.318,1673106.105
328,2511149.32,1673106.314
329,2511134.321,1673106.524
330,2511119.323,1673106.733
331,2511104.324,1673106.942
332,2511089.326,1673107.152
333,2511074.327,1673107.361
334,2511059.329,1673107.571
335,2511044.33,1673107.78
336,2511029.332,1673107.989
337,2511014.333,1673108.199
338,2510999.335,1673108.408
339,2510984.336,1673108.618
340,2510969.338,1673108.827
341,2510954.339,1673109.036
342,2510939.341,1673109.246
343,2510924.342,1673109.455
344,2510909.344,1673109.664
345,2510894.345,1673109.874
346,2510879.347,1673110.083
347,2510864.348,1673110.293
348,2510849.349,1673110.502
349,2510834.351,1673110.711
350,2510819.352,1673110.921
